video_id,title,published_at,category,duration,views,likes,comments
v001,10 Ways to Grow on YouTube in 2025,2025-01-05T14:30:00Z,Education,PT12M30S,845000,42100,3120
v002,I Tried Streamlit for 30 Days,2025-01-19T18:00:00Z,Tech,PT8M12S,412000,18700,1440
v003,Python Data Analysis Full Course,2025-02-02T09:00:00Z,Education,PT2H15M,1240000,58200,4870
v004,Building a SaaS in One Weekend,2025-02-16T20:00:00Z,Tech,PT18M40S,321000,15200,980
v005,YouTube Algorithm EXPLAINED,2025-03-01T15:15:00Z,Education,PT14M02S,982000,49800,3540
v006,My Home Studio Tour 2025,2025-03-14T12:00:00Z,Lifestyle,PT9M22S,180000,8900,610
v007,Plotly vs Matplotlib in 2025,2025-03-28T17:00:00Z,Tech,PT10M11S,225000,11200,720
v008,Freelance Data Analyst Salary Reveal,2025-04-11T19:30:00Z,Education,PT7M55S,540000,26400,2110
v009,Best VS Code Extensions for Data,2025-04-25T16:00:00Z,Tech,PT11M08S,296000,14900,890
v010,How I Edit YouTube Videos Fast,2025-05-09T21:00:00Z,Tutorial,PT13M45S,388000,19200,1150
v011,Streamlit Cloud Deploy Walkthrough,2025-05-23T14:00:00Z,Tech,PT16M20S,152000,7100,430
v012,Data Storytelling With Charts,2025-06-06T18:00:00Z,Education,PT9M55S,268000,13400,820
v013,Landing My First Analyst Job,2025-06-20T20:00:00Z,Career,PT12M10S,612000,29800,2240
v014,Weekend Hackathon Recap,2025-07-04T22:00:00Z,Lifestyle,PT14M30S,98000,4200,310
v015,Building Dashboards With Plotly,2025-07-18T15:00:00Z,Tech,PT19M02S,342000,17800,1050
v016,Advanced Pandas Tips,2025-08-01T17:00:00Z,Education,PT11M40S,478000,24100,1580
v017,YouTube Studio Full Walkthrough,2025-08-15T13:00:00Z,Tutorial,PT17M22S,204000,9800,660
v018,SQL Window Functions Deep Dive,2025-08-29T09:00:00Z,Education,PT22M18S,388000,19700,1420
v019,Reacting to Data Portfolio Sites,2025-09-12T19:00:00Z,Career,PT15M50S,556000,27600,2110
v020,Best Python Libraries of 2025,2025-09-26T18:00:00Z,Tech,PT10M40S,724000,36400,2780
v021,Chart Design Mistakes to Avoid,2025-10-10T14:00:00Z,Education,PT8M22S,412000,20200,1310
v022,I Recreated Google Analytics UI,2025-10-24T16:00:00Z,Tech,PT13M18S,289000,14100,880
v023,End of Year Creator Q&A,2025-11-07T21:00:00Z,Lifestyle,PT24M11S,168000,7800,570
v024,Notion for Analysts Full Tour,2025-11-21T13:00:00Z,Tutorial,PT19M40S,231000,11400,720
v025,Top 5 AI Coding Assistants,2025-12-05T17:00:00Z,Tech,PT14M02S,894000,44800,3410
v026,Streamlit vs Dash vs Gradio,2025-12-19T18:00:00Z,Tech,PT16M08S,502000,25100,1780
v027,Data Analyst Interview Questions,2026-01-02T15:00:00Z,Career,PT21M30S,678000,33900,2540
v028,Portfolio Projects That Get You Hired,2026-01-16T14:00:00Z,Career,PT17M14S,812000,40600,3020
v029,Everything New in Python 3.14,2026-01-30T16:00:00Z,Tech,PT18M50S,384000,19400,1260
v030,Ultimate Data Dashboard Design,2026-02-13T15:00:00Z,Education,PT23M12S,946000,47300,3610